Label,Mean,Peak,Peak_to_Peak,RMS,Std,time
3,0.0042655084362524,2.7358136726546904,5.438734231536926,0.5730743381310733,0.573058463389337,2026-01-01 01:40:00
3,0.0051308244838448,2.74190499001996,5.444825548902196,0.5588288072609358,0.5588052527176136,2026-01-01 01:40:01
3,0.0061321640897891,3.033476047904192,6.002790219560878,0.6007191062414668,0.6006878067408417,2026-01-01 01:40:02
3,0.0050126465818363,3.033476047904192,6.002790219560878,0.6173761605808444,0.617355810718414,2026-01-01 01:40:03
3,0.0058878768829528,2.977842015968064,5.560560578842315,0.5527255340204056,0.5526941729962003,2026-01-01 01:40:04
3,0.0051217033706025,2.8584521956087823,5.600357185628742,0.5680801015517867,0.5680570129253505,2026-01-01 01:40:05
3,0.0036992062749501,2.8584521956087823,5.600357185628742,0.5679309941357432,0.5679189466578387,2026-01-01 01:40:06
3,0.0049484022189995,2.527084530938124,4.932748802395209,0.5942393692437541,0.5942187655019772,2026-01-01 01:40:07
3,0.0046795276634231,2.8584521956087823,5.625128542914172,0.5761709344007107,0.5761519310642248,2026-01-01 01:40:08
3,0.0047100635642777,2.8584521956087823,5.625128542914172,0.5741571100545368,0.57413779036691,2026-01-01 01:40:09
3,0.0057728715420721,2.54779500998004,4.931530538922155,0.6025905919917596,0.6025629390454893,2026-01-01 01:40:10
3,0.0043610818402257,3.003019461077844,5.613758083832336,0.5675726129608633,0.5675558579984923,2026-01-01 01:40:11
3,0.0047616176826035,3.003019461077844,5.9085778443113774,0.5794867910770888,0.5794672277444741,2026-01-01 01:40:12
3,0.0052823142776946,2.905558383233533,5.636499001996008,0.5799276274473809,0.5799035697705437,2026-01-01 01:40:13
3,0.0028077165980538,2.730940618762475,5.423302894211577,0.5886052917146234,0.5885985951070236,2026-01-01 01:40:14
3,0.0045891096712824,3.236113872255489,6.152636626746507,0.5923826567678074,0.5923648808899047,2026-01-01 01:40:15
3,0.0048318105975548,3.236113872255489,6.152636626746507,0.5652479943542047,0.5652273425160891,2026-01-01 01:40:16
3,0.0045236755980227,2.8937818363273453,5.655991217564869,0.5916033354029577,0.5915860400812281,2026-01-01 01:40:17
3,0.0053655940072979,2.8109399201596807,5.573149301397205,0.5860051781411211,0.5859806133390044,2026-01-01 01:40:18
3,0.0042520250514595,2.839772155688623,5.38350628742515,0.5735291232633504,0.5735133612342341,2026-01-01 01:40:19
3,0.0046981664600486,2.839772155688623,5.532946606786427,0.5757630458035349,0.5757438772100639,2026-01-01 01:40:20
3,0.0037178450715756,2.943730638722555,5.638529441117765,0.5878508312267773,0.587839074409006,2026-01-01 01:40:21
3,0.0035957014681574,2.943730638722555,5.638529441117765,0.6094287473667946,0.6094181397431588,2026-01-01 01:40:22
3,0.0048738470324975,2.7658641716566867,5.284826946107785,0.5829252020960748,0.5829048265830825,2026-01-01 01:40:23
